Sheet Name: AI_Model_Registry

model_id: a417fe1f-d2f3-4f5c-a87b-c37ba769653f | model_name: document-intelligence | model_version: v1.6.6 | model_type: Anomaly | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/anomaly/457c928958ba | deployment_status: Testing
model_id: d0f18898-e1c8-4bfe-8ae3-f588a4966b5a | model_name: anomaly-detector | model_version: v3.8.5 | model_type: Classifier | training_dataset_version: exim-ds-2024-03 | artifact_uri: s3://allcargo-exim-models/classifier/4ebb647ca745 | deployment_status: Testing
model_id: 6ec0aef5-d3b3-401f-9c29-fd0c75d84f17 | model_name: document-intelligence | model_version: v1.2.4 | model_type: Regressor | training_dataset_version: exim-ds-2025-01 | artifact_uri: s3://allcargo-exim-models/regressor/cfe3a3e87c87 | deployment_status: Draft
model_id: b3948e92-faa0-4e69-859f-c9509bad0091 | model_name: eta-regressor | model_version: v3.7.9 | model_type: Classifier | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/classifier/f67078ca7235 | deployment_status: Production
model_id: 6bbc344d-2a7f-4f6d-8225-d8783764f03b | model_name: document-intelligence | model_version: v3.3.8 | model_type: Anomaly | training_dataset_version: exim-ds-2025-01 | artifact_uri: s3://allcargo-exim-models/anomaly/5a0ee6c82b9d | deployment_status: Testing
model_id: 17bcf2d3-0801-4081-88fa-60210e3ba899 | model_name: eta-regressor | model_version: v1.9.1 | model_type: Classifier | training_dataset_version: exim-ds-2025-02 | artifact_uri: s3://allcargo-exim-models/classifier/2869cecfa57b | deployment_status: Retired
model_id: 565f80d7-9d80-471e-ad89-2024890d1401 | model_name: delay-risk-classifier | model_version: v1.0.2 | model_type: Classifier | training_dataset_version: exim-ds-2026-10 | artifact_uri: s3://allcargo-exim-models/classifier/139add4c488a | deployment_status: Draft
model_id: 7bc10cc3-1c0a-4e34-9c47-1bcaffe7cdde | model_name: document-intelligence | model_version: v3.4.2 | model_type: Classifier | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/classifier/2d022b52861e | deployment_status: Production
model_id: 53a787ef-39b0-42e2-83fd-4d238f68761c | model_name: eta-regressor | model_version: v1.9.5 | model_type: Anomaly | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/anomaly/53eb3625a9d6 | deployment_status: Production
model_id: 2b99c2cc-3bf9-45e9-8269-1e0b2a893328 | model_name: delay-risk-classifier | model_version: v2.3.3 | model_type: NLP | training_dataset_version: exim-ds-2025-06 | artifact_uri: s3://allcargo-exim-models/nlp/30a5c5638379 | deployment_status: Draft
model_id: c2347fdc-f9e5-4a5c-8216-8f4e81e0dc98 | model_name: eta-regressor | model_version: v1.5.1 | model_type: NLP | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/nlp/7f2967b129b6 | deployment_status: Draft
model_id: 258f6e0b-bc05-4616-9940-b56ae2f8b96e | model_name: eta-regressor | model_version: v2.2.2 | model_type: Regressor | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/regressor/8dfea99f1f47 | deployment_status: Testing
model_id: df668574-bf06-48c4-8869-a6faccf19e02 | model_name: document-intelligence | model_version: v4.0.3 | model_type: Classifier | training_dataset_version: exim-ds-2026-11 | artifact_uri: s3://allcargo-exim-models/classifier/d771d68d251c | deployment_status: Draft
model_id: 2040f1ad-6a53-4bb8-9e34-6a0267d3166c | model_name: eta-regressor | model_version: v2.9.8 | model_type: Classifier | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/classifier/71ddf1d57416 | deployment_status: Production
model_id: edb1bf9c-2e5e-40e2-b103-d5e430ad78c6 | model_name: delay-risk-classifier | model_version: v3.7.9 | model_type: Classifier | training_dataset_version: exim-ds-2025-06 | artifact_uri: s3://allcargo-exim-models/classifier/c3e3ae6cd813 | deployment_status: Retired
model_id: f935db94-870f-4bb4-bc1c-25225168a394 | model_name: risk-summary-llm | model_version: v2.8.1 | model_type: Regressor | training_dataset_version: exim-ds-2025-02 | artifact_uri: s3://allcargo-exim-models/regressor/1c1fd7123342 | deployment_status: Testing
model_id: d6fc9898-aa72-40ea-91ee-59dfbb684000 | model_name: delay-risk-classifier | model_version: v3.0.3 | model_type: Regressor | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/regressor/d80ad708968e | deployment_status: Production
model_id: 5f26a79b-b118-4d86-955e-d585a7815193 | model_name: risk-summary-llm | model_version: v1.2.0 | model_type: Anomaly | training_dataset_version: exim-ds-2026-11 | artifact_uri: s3://allcargo-exim-models/anomaly/3d241dec8b7e | deployment_status: Testing
model_id: aea681b0-af10-467d-966a-f9e7a66fe141 | model_name: document-intelligence | model_version: v2.6.8 | model_type: Classifier | training_dataset_version: exim-ds-2024-10 | artifact_uri: s3://allcargo-exim-models/classifier/c66e22a4f504 | deployment_status: Retired
model_id: bcff23a7-9a1b-466a-8b4f-04e8d50d152b | model_name: anomaly-detector | model_version: v2.1.9 | model_type: Classifier | training_dataset_version: exim-ds-2025-11 | artifact_uri: s3://allcargo-exim-models/classifier/a26483358340 | deployment_status: Production
model_id: dd0e7e2c-d900-4c1b-8894-558ba3244930 | model_name: anomaly-detector | model_version: v3.3.8 | model_type: Anomaly | training_dataset_version: exim-ds-2026-03 | artifact_uri: s3://allcargo-exim-models/anomaly/6d4d2055c133 | deployment_status: Draft
model_id: 77883252-ecc7-45e4-958f-e98f9985f5c8 | model_name: eta-regressor | model_version: v3.5.2 | model_type: Regressor | training_dataset_version: exim-ds-2025-09 | artifact_uri: s3://allcargo-exim-models/regressor/ce5e813dffb5 | deployment_status: Draft
model_id: 4be49f44-1f1f-48c2-add7-0ff31f375152 | model_name: risk-summary-llm | model_version: v1.9.2 | model_type: Classifier | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/classifier/0dda0f9faf5d | deployment_status: Draft
model_id: fc70f860-9390-4be5-a9bf-7ee444ecd223 | model_name: document-intelligence | model_version: v2.8.8 | model_type: Regressor | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/regressor/8a8edb69d266 | deployment_status: Production
model_id: e0d6069e-55a2-44cb-9a39-6eaa43cf9638 | model_name: eta-regressor | model_version: v2.9.1 | model_type: Regressor | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/regressor/4a27d147b26a | deployment_status: Testing
model_id: bbcd5836-aab9-4936-b22c-dde6f97449fa | model_name: eta-regressor | model_version: v2.4.2 | model_type: Anomaly | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/anomaly/8b9491a95c56 | deployment_status: Testing
model_id: 5713ee97-6349-49e8-96d4-b63483a12236 | model_name: eta-regressor | model_version: v1.8.2 | model_type: Anomaly | training_dataset_version: exim-ds-2025-03 | artifact_uri: s3://allcargo-exim-models/anomaly/0200f187993d | deployment_status: Production
model_id: b18b5c95-de2d-41b8-bbc5-5be94355a3c4 | model_name: eta-regressor | model_version: v1.4.5 | model_type: LLM | training_dataset_version: exim-ds-2026-11 | artifact_uri: s3://allcargo-exim-models/llm/93e1790ae7b8 | deployment_status: Production
model_id: 7481aa90-c1e8-4ff3-81e1-fc0504bd6641 | model_name: risk-summary-llm | model_version: v2.1.8 | model_type: Anomaly | training_dataset_version: exim-ds-2025-02 | artifact_uri: s3://allcargo-exim-models/anomaly/ef9adeb26f77 | deployment_status: Draft
model_id: bf980df9-def9-4bc4-9b34-48f7a014c909 | model_name: risk-summary-llm | model_version: v2.3.8 | model_type: Classifier | training_dataset_version: exim-ds-2025-04 | artifact_uri: s3://allcargo-exim-models/classifier/2a2eb405bd91 | deployment_status: Production
model_id: 38504113-15ce-4094-b02b-cb81a5e89ba6 | model_name: anomaly-detector | model_version: v3.0.3 | model_type: Classifier | training_dataset_version: exim-ds-2025-04 | artifact_uri: s3://allcargo-exim-models/classifier/6b96e28fb7cb | deployment_status: Production
model_id: 0dc17a5c-cafa-43b0-99c4-370877cddc0e | model_name: delay-risk-classifier | model_version: v1.8.4 | model_type: LLM | training_dataset_version: exim-ds-2026-08 | artifact_uri: s3://allcargo-exim-models/llm/1ca5ac274cbf | deployment_status: Retired
model_id: 96456a6e-2d8f-40fe-9983-289ae3da134a | model_name: anomaly-detector | model_version: v3.6.7 | model_type: Classifier | training_dataset_version: exim-ds-2026-07 | artifact_uri: s3://allcargo-exim-models/classifier/9fe479fbe4b1 | deployment_status: Testing
model_id: ef1c5adb-938e-49bb-b01e-e45911a5f9f0 | model_name: risk-summary-llm | model_version: v4.1.1 | model_type: Classifier | training_dataset_version: exim-ds-2025-12 | artifact_uri: s3://allcargo-exim-models/classifier/7a18c7845276 | deployment_status: Draft
model_id: 7c51270d-4456-46b7-8069-053a3f4bdb11 | model_name: eta-regressor | model_version: v4.5.1 | model_type: Classifier | training_dataset_version: exim-ds-2026-09 | artifact_uri: s3://allcargo-exim-models/classifier/5ed098c9ad6d | deployment_status: Production
model_id: 28ed0805-8aff-411b-b436-b762e7783592 | model_name: document-intelligence | model_version: v2.3.8 | model_type: LLM | training_dataset_version: exim-ds-2026-03 | artifact_uri: s3://allcargo-exim-models/llm/1e2ea7e660ea | deployment_status: Retired
model_id: 97f3a9ad-4359-4048-8eba-4e86693d523a | model_name: delay-risk-classifier | model_version: v2.8.0 | model_type: Regressor | training_dataset_version: exim-ds-2026-09 | artifact_uri: s3://allcargo-exim-models/regressor/dac8dffb92b6 | deployment_status: Testing
model_id: 872e2f43-88ca-46ab-a9ad-d19febfe9100 | model_name: document-intelligence | model_version: v4.9.5 | model_type: Classifier | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/classifier/c4d25cb7420e | deployment_status: Testing
model_id: e6365dd7-98a2-4604-b6db-820c543a0606 | model_name: eta-regressor | model_version: v2.3.8 | model_type: Regressor | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/regressor/ea724a34ab98 | deployment_status: Draft
model_id: 73a63543-ed01-4bbd-812f-0477d9706e3b | model_name: anomaly-detector | model_version: v3.5.7 | model_type: Classifier | training_dataset_version: exim-ds-2026-05 | artifact_uri: s3://allcargo-exim-models/classifier/1913ffd705a2 | deployment_status: Production
model_id: c66f752d-563c-48a8-8f42-2dff33c162e9 | model_name: eta-regressor | model_version: v4.3.9 | model_type: Anomaly | training_dataset_version: exim-ds-2025-08 | artifact_uri: s3://allcargo-exim-models/anomaly/e742c0966dfb | deployment_status: Testing
model_id: c5eba717-24f8-4734-b68d-1bdb5960ac9d | model_name: document-intelligence | model_version: v3.3.1 | model_type: Anomaly | training_dataset_version: exim-ds-2024-02 | artifact_uri: s3://allcargo-exim-models/anomaly/0732f3a9b346 | deployment_status: Testing
model_id: cf3be0b9-98d1-4953-89a7-acfee0b9a54b | model_name: risk-summary-llm | model_version: v1.8.5 | model_type: Classifier | training_dataset_version: exim-ds-2025-04 | artifact_uri: s3://allcargo-exim-models/classifier/e48b9ea10aa0 | deployment_status: Retired
model_id: e6532a70-9201-466d-b8d4-921d3950bd97 | model_name: anomaly-detector | model_version: v4.0.0 | model_type: LLM | training_dataset_version: exim-ds-2024-07 | artifact_uri: s3://allcargo-exim-models/llm/b608b342c598 | deployment_status: Production
model_id: 71378169-40d0-4f27-81a4-fea452101267 | model_name: eta-regressor | model_version: v1.9.7 | model_type: Classifier | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/classifier/8ef4156c4fda | deployment_status: Production
model_id: f02fe940-21bf-44f9-a678-7cb9aebebefb | model_name: risk-summary-llm | model_version: v3.0.9 | model_type: Regressor | training_dataset_version: exim-ds-2026-11 | artifact_uri: s3://allcargo-exim-models/regressor/cfa3b2850e01 | deployment_status: Retired
model_id: 41726d02-d06a-4771-a991-1fee6b7b968b | model_name: document-intelligence | model_version: v1.4.3 | model_type: NLP | training_dataset_version: exim-ds-2025-11 | artifact_uri: s3://allcargo-exim-models/nlp/40b378d02f29 | deployment_status: Testing
model_id: 318e86fe-2d0e-4601-9882-abb6f944851f | model_name: eta-regressor | model_version: v2.6.2 | model_type: Anomaly | training_dataset_version: exim-ds-2025-06 | artifact_uri: s3://allcargo-exim-models/anomaly/3682881e4b86 | deployment_status: Testing
model_id: d1ac30cb-c35f-4257-8407-c40a38d7ff77 | model_name: risk-summary-llm | model_version: v4.9.3 | model_type: Classifier | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/classifier/ad1fc32e54d5 | deployment_status: Testing
model_id: 54279670-5689-4ebf-8ff1-d4d824fa52df | model_name: eta-regressor | model_version: v2.9.5 | model_type: Classifier | training_dataset_version: exim-ds-2025-01 | artifact_uri: s3://allcargo-exim-models/classifier/dc8d95012c0f | deployment_status: Production
model_id: a1d91899-5bbb-4786-be27-716252e904f7 | model_name: eta-regressor | model_version: v1.4.9 | model_type: Classifier | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/classifier/5796a5499208 | deployment_status: Draft
model_id: 467eb9c0-2220-49e5-8eea-b819dfdfa8af | model_name: risk-summary-llm | model_version: v2.6.4 | model_type: Classifier | training_dataset_version: exim-ds-2026-10 | artifact_uri: s3://allcargo-exim-models/classifier/175bc033b657 | deployment_status: Production
model_id: 345b5df9-c62d-4575-8872-6642e742d4c4 | model_name: delay-risk-classifier | model_version: v4.0.5 | model_type: NLP | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/nlp/3721eb3ddd77 | deployment_status: Production
model_id: 108a0529-6cff-4b0f-a3bf-faeb8520663d | model_name: document-intelligence | model_version: v1.3.0 | model_type: NLP | training_dataset_version: exim-ds-2024-11 | artifact_uri: s3://allcargo-exim-models/nlp/222e051d2578 | deployment_status: Testing
model_id: f79fa056-98be-4f39-a824-f1e521eec0d6 | model_name: eta-regressor | model_version: v4.6.5 | model_type: Classifier | training_dataset_version: exim-ds-2024-03 | artifact_uri: s3://allcargo-exim-models/classifier/61e4a56ed40a | deployment_status: Testing
model_id: 2e2482ed-cd25-438a-8429-3467a89a8612 | model_name: anomaly-detector | model_version: v1.3.9 | model_type: Classifier | training_dataset_version: exim-ds-2025-07 | artifact_uri: s3://allcargo-exim-models/classifier/9252ff529cca | deployment_status: Production
model_id: 075a9300-3726-458f-8467-c2a20e9167f4 | model_name: eta-regressor | model_version: v1.5.0 | model_type: NLP | training_dataset_version: exim-ds-2025-01 | artifact_uri: s3://allcargo-exim-models/nlp/3562bcdd9d57 | deployment_status: Testing
model_id: bcde91c7-cc43-491e-9780-78b79f73901c | model_name: anomaly-detector | model_version: v2.3.4 | model_type: Classifier | training_dataset_version: exim-ds-2024-03 | artifact_uri: s3://allcargo-exim-models/classifier/f4a54d07e5d3 | deployment_status: Testing
model_id: 6e98c8dc-c9a0-40c1-bf1c-acc096f6a457 | model_name: eta-regressor | model_version: v2.7.4 | model_type: NLP | training_dataset_version: exim-ds-2026-04 | artifact_uri: s3://allcargo-exim-models/nlp/3301263c8253 | deployment_status: Draft
model_id: bee945d3-6e27-429a-bbfa-a3cd7444005f | model_name: delay-risk-classifier | model_version: v2.3.5 | model_type: Classifier | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/classifier/a67a02650ed5 | deployment_status: Production
model_id: 03667d42-f7f2-4c0a-9d70-559a17b93df4 | model_name: document-intelligence | model_version: v1.8.0 | model_type: Classifier | training_dataset_version: exim-ds-2026-02 | artifact_uri: s3://allcargo-exim-models/classifier/0700d7236db0 | deployment_status: Production
model_id: 930879c3-58ce-40bb-bad7-e4a89b208c5f | model_name: eta-regressor | model_version: v1.4.4 | model_type: Classifier | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/classifier/307459f67ab1 | deployment_status: Testing
model_id: 51f43d91-2a34-46f7-915d-aefad1d28173 | model_name: document-intelligence | model_version: v4.3.8 | model_type: Classifier | training_dataset_version: exim-ds-2025-03 | artifact_uri: s3://allcargo-exim-models/classifier/76d2c3351edd | deployment_status: Testing
model_id: 0e18640a-3e41-49b9-ae39-0dc53339763f | model_name: delay-risk-classifier | model_version: v2.5.7 | model_type: Classifier | training_dataset_version: exim-ds-2026-07 | artifact_uri: s3://allcargo-exim-models/classifier/04e873fdd758 | deployment_status: Draft
model_id: e747b99f-209f-4b58-884a-f0834d6df24d | model_name: anomaly-detector | model_version: v2.6.1 | model_type: Classifier | training_dataset_version: exim-ds-2026-03 | artifact_uri: s3://allcargo-exim-models/classifier/1e18d81958d0 | deployment_status: Production
model_id: 704cdfca-6243-418e-b016-9191b7872ed8 | model_name: document-intelligence | model_version: v3.7.9 | model_type: Classifier | training_dataset_version: exim-ds-2026-02 | artifact_uri: s3://allcargo-exim-models/classifier/17a8443759e2 | deployment_status: Retired
model_id: e538e2e6-075a-4690-b9e5-70b8b56a6b22 | model_name: delay-risk-classifier | model_version: v1.1.0 | model_type: Anomaly | training_dataset_version: exim-ds-2025-09 | artifact_uri: s3://allcargo-exim-models/anomaly/a19e09e871f0 | deployment_status: Testing
model_id: e2510eab-6a1a-47af-b632-8c901a3f10e8 | model_name: anomaly-detector | model_version: v2.3.8 | model_type: Classifier | training_dataset_version: exim-ds-2024-08 | artifact_uri: s3://allcargo-exim-models/classifier/1d46fbaadc4c | deployment_status: Testing
model_id: 26e85332-a1af-43f9-8111-bd7ca10919dd | model_name: delay-risk-classifier | model_version: v2.1.0 | model_type: Regressor | training_dataset_version: exim-ds-2026-10 | artifact_uri: s3://allcargo-exim-models/regressor/b85345f5babd | deployment_status: Production
model_id: d37830db-b70e-4f2b-9ba1-4ec40b1bb640 | model_name: document-intelligence | model_version: v4.2.9 | model_type: NLP | training_dataset_version: exim-ds-2024-02 | artifact_uri: s3://allcargo-exim-models/nlp/85ca935dca37 | deployment_status: Production
model_id: 45ebb8ce-d4c4-4946-9c38-323aa8cb092b | model_name: delay-risk-classifier | model_version: v1.6.6 | model_type: Classifier | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/classifier/dc063080a107 | deployment_status: Testing
model_id: 01c32f45-d8b4-4f77-9cbf-96ef618e09d7 | model_name: document-intelligence | model_version: v2.7.1 | model_type: Regressor | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/regressor/edecfae78273 | deployment_status: Testing
model_id: 438ef9b4-9371-4876-8532-3875e471263f | model_name: document-intelligence | model_version: v1.2.5 | model_type: NLP | training_dataset_version: exim-ds-2025-06 | artifact_uri: s3://allcargo-exim-models/nlp/c180eee44084 | deployment_status: Testing
model_id: 30d786a3-305f-4aa3-9034-7c7cc211e269 | model_name: anomaly-detector | model_version: v4.7.6 | model_type: Regressor | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/regressor/45cb19328dac | deployment_status: Production
model_id: 6e7ec81d-4a13-4a2c-aeea-c11407f7b1a3 | model_name: document-intelligence | model_version: v3.0.6 | model_type: Anomaly | training_dataset_version: exim-ds-2025-04 | artifact_uri: s3://allcargo-exim-models/anomaly/fa1adebc32d3 | deployment_status: Production
model_id: 7c1660e5-efe2-462e-a2f7-3847a5b4e5c5 | model_name: risk-summary-llm | model_version: v3.1.8 | model_type: Classifier | training_dataset_version: exim-ds-2025-09 | artifact_uri: s3://allcargo-exim-models/classifier/0a74a76c54d5 | deployment_status: Production
model_id: 30f1c0a6-1f93-47f7-8826-ed1ddf660337 | model_name: document-intelligence | model_version: v3.3.8 | model_type: Anomaly | training_dataset_version: exim-ds-2025-10 | artifact_uri: s3://allcargo-exim-models/anomaly/0055ae2bfc75 | deployment_status: Draft
model_id: 2fad2b22-525c-451d-af90-cfc24018a840 | model_name: anomaly-detector | model_version: v1.7.7 | model_type: Regressor | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/regressor/a9b769f4b983 | deployment_status: Production
model_id: 491eab2a-386b-4341-94fc-1877f6a87989 | model_name: anomaly-detector | model_version: v2.5.7 | model_type: Classifier | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/classifier/87f7acc37ae6 | deployment_status: Draft
model_id: 43fdc5b3-454a-4d48-9e20-b91821719a91 | model_name: document-intelligence | model_version: v2.9.6 | model_type: LLM | training_dataset_version: exim-ds-2025-03 | artifact_uri: s3://allcargo-exim-models/llm/f5a30ef65753 | deployment_status: Testing
model_id: 9e43ace1-37eb-4337-9d09-5aa97b3f7ac0 | model_name: delay-risk-classifier | model_version: v3.5.3 | model_type: Regressor | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/regressor/a7bef951813f | deployment_status: Testing
model_id: b36e07f4-b2f1-4eb4-871d-61a0e5d6e830 | model_name: document-intelligence | model_version: v3.4.5 | model_type: LLM | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/llm/d572f464685f | deployment_status: Testing
model_id: f946fabf-fc3a-4c35-95d7-cc85ba3742a3 | model_name: risk-summary-llm | model_version: v2.5.6 | model_type: LLM | training_dataset_version: exim-ds-2024-12 | artifact_uri: s3://allcargo-exim-models/llm/4f7d9a443cf8 | deployment_status: Draft
model_id: 9ad0d3d6-d8e0-464b-9ce4-d01a569bcce2 | model_name: delay-risk-classifier | model_version: v1.6.5 | model_type: Classifier | training_dataset_version: exim-ds-2025-02 | artifact_uri: s3://allcargo-exim-models/classifier/1c660aa94bf9 | deployment_status: Production
model_id: 234974c1-0055-489b-9931-b985c168708b | model_name: risk-summary-llm | model_version: v3.3.0 | model_type: LLM | training_dataset_version: exim-ds-2025-04 | artifact_uri: s3://allcargo-exim-models/llm/08aa6e11f7ae | deployment_status: Retired
model_id: fcd5effe-ee33-449c-a494-0f5ab7b03346 | model_name: anomaly-detector | model_version: v3.3.2 | model_type: Regressor | training_dataset_version: exim-ds-2024-07 | artifact_uri: s3://allcargo-exim-models/regressor/ad7b9243a1fd | deployment_status: Retired
model_id: 97062f61-89db-4978-a7ed-2dea833c5ee0 | model_name: risk-summary-llm | model_version: v2.8.9 | model_type: Regressor | training_dataset_version: exim-ds-2024-04 | artifact_uri: s3://allcargo-exim-models/regressor/6ba7c52a2cc7 | deployment_status: Testing
model_id: 3c3c71ce-921b-4561-8bf0-848a790624fa | model_name: delay-risk-classifier | model_version: v2.1.3 | model_type: Anomaly | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/anomaly/7aeb25e62e5d | deployment_status: Production
model_id: 3ca20d7f-49b2-43a7-9638-5c1ec28359e1 | model_name: anomaly-detector | model_version: v1.3.9 | model_type: Anomaly | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/anomaly/9f0ca7a471d4 | deployment_status: Production
model_id: 0149d8cb-f4ba-4834-b88b-60da1bb445e9 | model_name: risk-summary-llm | model_version: v2.6.4 | model_type: NLP | training_dataset_version: exim-ds-2024-07 | artifact_uri: s3://allcargo-exim-models/nlp/68fd491fff88 | deployment_status: Testing
model_id: 4eac3a5b-6c99-43c8-bfa6-cc29635c9700 | model_name: eta-regressor | model_version: v3.5.2 | model_type: Anomaly | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/anomaly/bfeb3d1f4250 | deployment_status: Testing
model_id: 9dd1abab-8731-40ce-8385-c78470af5e53 | model_name: delay-risk-classifier | model_version: v4.2.6 | model_type: Regressor | training_dataset_version: exim-ds-2026-09 | artifact_uri: s3://allcargo-exim-models/regressor/65cdfd1b98ad | deployment_status: Testing
model_id: 7a32e5bf-8768-4c02-9982-3481f7f272d1 | model_name: anomaly-detector | model_version: v1.4.2 | model_type: LLM | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/llm/033b20640952 | deployment_status: Production
model_id: 4e15c092-2b7e-4229-a38b-8506b91c8a4b | model_name: document-intelligence | model_version: v4.6.1 | model_type: Regressor | training_dataset_version: exim-ds-2024-10 | artifact_uri: s3://allcargo-exim-models/regressor/4c9348d25286 | deployment_status: Testing
model_id: e1fb3b41-017a-429f-bbb9-618398edace6 | model_name: anomaly-detector | model_version: v4.5.0 | model_type: NLP | training_dataset_version: exim-ds-2025-10 | artifact_uri: s3://allcargo-exim-models/nlp/7af823062be9 | deployment_status: Production
model_id: d022bb3f-0a7b-4e01-97c4-fd075fbe504b | model_name: anomaly-detector | model_version: v1.7.3 | model_type: Classifier | training_dataset_version: exim-ds-2026-08 | artifact_uri: s3://allcargo-exim-models/classifier/fae37d4802ec | deployment_status: Production
model_id: 6da80f07-0e00-487d-8f72-5433224f557d | model_name: delay-risk-classifier | model_version: v1.8.7 | model_type: Anomaly | training_dataset_version: exim-ds-2025-04 | artifact_uri: s3://allcargo-exim-models/anomaly/84cfa9dccf00 | deployment_status: Testing
model_id: 1cf22074-d5f6-4068-9bb8-8636cf7537c5 | model_name: document-intelligence | model_version: v1.7.4 | model_type: Classifier | training_dataset_version: exim-ds-2024-11 | artifact_uri: s3://allcargo-exim-models/classifier/a389e7fcf4d2 | deployment_status: Testing
model_id: 2ab17a99-0730-4bab-8ae0-33ec29754aa4 | model_name: eta-regressor | model_version: v4.7.7 | model_type: Classifier | training_dataset_version: exim-ds-2024-11 | artifact_uri: s3://allcargo-exim-models/classifier/c34cc9d1c375 | deployment_status: Production
model_id: 884c3da8-e25e-47bc-92ed-d7813f39e6b5 | model_name: anomaly-detector | model_version: v3.3.0 | model_type: Classifier | training_dataset_version: exim-ds-2024-10 | artifact_uri: s3://allcargo-exim-models/classifier/057477a7bbf6 | deployment_status: Retired
model_id: ace1d42c-da4e-4ffb-8ba7-fe921a46c3ff | model_name: eta-regressor | model_version: v2.3.8 | model_type: Anomaly | training_dataset_version: exim-ds-2025-09 | artifact_uri: s3://allcargo-exim-models/anomaly/29c83280eb53 | deployment_status: Production
model_id: 0605d4de-c9ad-4416-9b5f-c84da77e047f | model_name: anomaly-detector | model_version: v3.8.4 | model_type: LLM | training_dataset_version: exim-ds-2024-08 | artifact_uri: s3://allcargo-exim-models/llm/e6fad2bc5e9a | deployment_status: Testing
model_id: d403f06e-8db4-4c65-ba2b-3b59ca39c60b | model_name: delay-risk-classifier | model_version: v1.5.4 | model_type: Classifier | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/classifier/efac9aa0e381 | deployment_status: Testing
model_id: bd689acd-bba5-4321-9188-827a4a566246 | model_name: delay-risk-classifier | model_version: v2.6.3 | model_type: Classifier | training_dataset_version: exim-ds-2024-07 | artifact_uri: s3://allcargo-exim-models/classifier/24bf610a6f17 | deployment_status: Testing
model_id: e5d9483b-ba25-48f3-8ce0-f6e5d30b0786 | model_name: anomaly-detector | model_version: v3.4.9 | model_type: Classifier | training_dataset_version: exim-ds-2026-05 | artifact_uri: s3://allcargo-exim-models/classifier/85524f0f6124 | deployment_status: Production
model_id: 33de6f9a-4d6e-47b2-b468-3cdff91b914a | model_name: risk-summary-llm | model_version: v4.0.3 | model_type: Classifier | training_dataset_version: exim-ds-2025-07 | artifact_uri: s3://allcargo-exim-models/classifier/76d43c511feb | deployment_status: Production
model_id: 9170d210-5640-4eb9-9381-b462c148fcf4 | model_name: eta-regressor | model_version: v4.5.3 | model_type: Classifier | training_dataset_version: exim-ds-2024-07 | artifact_uri: s3://allcargo-exim-models/classifier/2ef815f1df14 | deployment_status: Draft
model_id: 86d4d57a-f74f-4402-a102-609e27d3976e | model_name: risk-summary-llm | model_version: v2.5.9 | model_type: NLP | training_dataset_version: exim-ds-2025-02 | artifact_uri: s3://allcargo-exim-models/nlp/015ff7ce0877 | deployment_status: Draft
